번호,병원명,주소,연락처,평일,토요일,공휴일/일요일
21,김용한내과의원,"성복동031-276-1,벽산플라자301호",031-896-2767,9:00-18:00,09:00-13:00,휴진
22,김종원 정신과의원,풍덕천동1078번지 수지로얄스포츠센타031-307,031-276-2255,9:30-18:00,09:30-13:00,휴진
23,김종화 푸른소아과의원,풍덕천동707 한길빌딩3층,031-266-3010,9:00-19:00,09:00-13:00,공휴일(9:00~13:00)
24,김진영내과의원,신봉동31 홍천말프라자301호,031-263-9875,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
25,김태철이비인후과의원,풍덕천2동 1047번지 1호 거묵상가 401호,031-263-2828,9:30-19:00,09:30-16:00,휴진
26,꾸러기소아청소년과의원,상현동 66-9외1필지상현종합상가201-1호,031-896-2228,9:00-18:30,09:00-14:30,휴진
27,남경한의원,"풍덕천동 239-3,554-5",031-264-7722,9:30-19:00 14:00-19:00(목),09:30-16:00,휴진
28,노블산부인과의원,상현동 254-3 원희캐슬프라자A/406(4실5병상),031-261-3550,9:30-18:30,09:30-13:00,휴진
29,노블정형외과의원,죽전동 920 수창빌딩(5층),031-896-7575,9:00-20:00,09:00-16:00,공휴일(9:00~13:00)
30,노블효병원(요양병원),"죽전2동 931외2필지 남곡빌딩A,C2층",031-272-8075,9:00-18:00,09:00-13:00,휴진
31,늘푸른가정의학과의원,죽전동 589-24 중앙프라자 204호,031-264-0304,09:00~19:00,09:00~15:00,휴무
32,늘푸른외과의원,"풍덕천동 712-2(4,5,6,7층) (22병상)",031-262-8275,9:00-20:00,09:00-17:00,공휴일(9:00-15:00)
33,다정한의원,죽전동 2004-4 에메랄드그린존303호,031-272-7737,9:30-19:00,09:30-16:00,휴진
34,단아한의원,상현동 107-14 중앙프라자 201,031-261-8217,9:30-20:00(수-휴진),09:30-17:00,"일요일,공휴일(9:30-15:00)"
35,대인한의원,죽전동 1174번지 1호 벤포스타Ⅰ 403호,031-898-0075,9:30-20:00,09:30-16:00,휴진
36,도한의원,죽전동 1084-2 2층,031-276-0872,9:30-18:00,09:30-13:00,휴진
37,동의보감한의원,상현동263 미래프라자 406호,031-272-7290,9:30-19:00,09:30-15:00,공휴일(9:30~15:00)
38,동천서울이비인후과의원,동천동 873-4 에덴프크1 201호,031-896-7517,9:00-18:30,09:00-13:00,휴진
39,동천연세소아과의원,동천동 873-4 에덴프크빌딩3층,031-276-3188,9:00-19:00,09:00-16:00,휴진
40,동천한의원,"동천동 873-2,동천타워1상가404",031-264-8175,9:30-19:00,09:30-14:00,휴진
41,동한한의원,풍덕천동 1080-4 하나프라자301호,031-264-2588,"9:30-19:00(월,수,금) 9:30-21:00(화,목)",09:30-17:00,요일시간에맞춰(사정에따라)
42,러스크수지병원,풍덕천동 552-1번지외4필지 거묵프라자 2~5층,031-898-0007,9:00-18:00,09:00-13:00,휴진
43,로하스정신과의원,풍덕천동 1080-20 중수프라자 6층(8실41병상),031-265-4075,"9:30-18:30(화,수,금) 9:30-21:00(월,목)",09:30-16:00,공휴일(9:00~13:00)사정에
44,리&홍 위즈의원,성복동 139 웰스톤갤러리301호,031-896-5577,09:00~20:00,09:00~20:00,09:00~20:00
45,리즈여성의원,상현동 66-2외1필지 헤르메스상가 031-305호,031-272-1211,"9:30-19:00(월~수) 9:30-21:00(화,목)",09:00-15:00,휴진
46,린한의원,동천동 371-5 코아프라자 3층 301호,031-266-7550,9:30-19:00,09:30-17:00,공휴일(9:30~13:00)사정에
47,마음과마음정신과의원,풍덕천동 1080-20 중수프라자 6층(6실36병상),031-263-4975,"9:30-18:30(화,수,금) 9:30-21:00(월,목)",09:30-16:00,공휴일(9:00~13:00)사정에
48,맑은신경과의원,풍덕천동 1080-9 하나로프라자 403-1,031-266-7501,9:00-19:00,09:00-16:00,공휴일(9:00~14:00)
49,맑은한의원,성복동89 데이파크 B동 313호,031-889-5335,09:00~19:00,09:00~17:00,휴무
50,메가성형외과의원,풍덕천동1080-19 평은프라자3층,031-889-7972,10:00-19:00,09:00-16:00,휴진
51,메디미의원,상현동 254-14 원희캐슬프라자 A동 304,031-264-2800,9:30~19:00(목:21:00),09:00~15:00,휴진
52,메디서울이비인후과의원,"풍덕천동 1078(로얄스포츠210,211호)(3병상)",031-261-8880,9:00-18:00,09:00-13:00,휴진
53,메이준소아과의원,죽전동 484-9 금강프라자205호,031-261-6288,9:00-19:00,09:00-15:00,공휴일(9:00~13:00)
54,명가정의학과의원,죽전동 920 수창빌라301호,031-896-1005,9:00-18:30,09:00-15:30,휴진
55,명문경희한의원,풍덕천동 택지개발2지구 3008-1,031-264-1875,9:30-19:00,09:30-16:00,휴진
56,명문내과의원,상현동 254-34 원희캐슬프라자A/302호,031-265-7585,9:00-19:00,09:00-15:00,휴진
57,미라클의원,"풍덕천동 1080-2,준오빌딩2층",031-261-3175,9:30-18:00,09:30-16:00,휴진
58,미래여성한의원,상현동25-9,031-265-5678,"9:30-19:00(월,수,목) 9:30-21:00(화,금)",09:30-16:00,휴진
59,미래연세내과의원,상현동263 미래프라자 402-403호,031-265-9413,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
60,미소래치과의원,성복동 409-1 성복빌딩301호,031-889-2875,09:30~19:00,09:30~13:00,휴무
61,미시간피부과의원,성복동 74 세호빌딩2층,031-266-7589,9:30-19:00,09:30-16:00,휴진
62,미아뜨의원,"풍덕천동1080-6,강동빌딩4층",031-896-9937,10:00-20:00,10:00-16:00,휴진
63,미앤라인의원,신봉동33 센트럴500상가 3층,031-889-2002,"화목(10:00~20:30),월수금(10:00~19:00)",10:00~16:00,휴무
64,미즈웰산부인과의원,"풍덕천동 1080-14,15(18병상)",031-264-4848,9:00-20:00,09:00-18:00,"일요일(10:00-13:00),공휴일(10:00~16:00)"
65,박수언소아과의원,죽전동 2004-4 에메랄드존 202.203호,031-897-1011,9:00-18:30,09:00-13:00,휴진
66,박안과의원,풍덕천동 1078(로얄스포츠306),031-262-1781,9:00-18:30,09:00-16:00,휴진
67,박지영산부인과의원,풍덕천동 712-3,031-264-8113,10:00-18:00,10:00-13:00,휴진
68,반석정형외과의원,죽전동1031-608-1 선진포리스트가동 306호(8실29병상),031-266-1933,9:00-20:00,09:00-17:00,공휴일(9:00~13:00)
69,밝은누리안과의원,풍덕천동 1080-20 중수프라자4층 405.406호,031-276-9104,9:00-19:00,09:00-17:00,휴진
70,백두산한의원,죽전동 2005-5 우성메디피아 501호,031-896-7502,9:30-19:00(목-휴진),09:30-17:00,"일요일,공휴일(10:00-17:00)"
71,벧엘의원,풍덕천동 703 동보아파트 본상가 201호,031-264-4166,9:00-18:30,09:30-16:00,공휴일(9:00~14:00)사정에
72,보스톤서울치과의원,성복동 139 웰스톤갤러리304호,031-266-2985,"10:00~19:00,화금(10:00~21:00)",10:00~16:00,휴무
73,본경희한의원,신봉동 33 센트럴500,031-265-5075,10:00-19:00,10:00-16:00,휴진
74,북경한의원,죽전1동 1189번지1호베스트프라자 301호,031-263-5855,"9:30-18:30(월,수,금) 9:30-21:99(화,목)",09:30-15:30,휴진
75,삼명한의원,죽전동 465-1 양지프라자 105호,031-272-7772,9:30-20:00(하절기) 9:30-19:00(동절기),09:30-17:00,공휴일(9:30~17:00)
76,삼성굿모닝의원,"동천동873-2, 동천타워304",031-896-0037,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)사정에
77,상현경희한의원,상현동 257-22 207호,031-272-2777,9:30-19:00,09:30-16:00,공휴일(9:30~13:00)
78,상현연세내과의원,상현동 257-22(031-202호),031-261-8275,9:00-19:00,09:00-15:00,휴진
79,상현정형외과의원,상현동 254-3(원희캐슬프라자 B/301),031-272-7775,9:00-19:00,09:00-16:00,휴진
80,새봄의원,동천동 873-2 동천타원303호,031-265-8842,09:00~19:00,09:00~16:00,공휴(09:00~13:00)
81,서울가정의학과의원,성복동98-10 LG빌리지1차상가,031-266-1191,9:00-19:00,09:00-14:00,휴진
82,서울경희한의원,풍덕천동 193-8,031-272-5575,10:00-19:00(화-휴진),10:00-17:00,"일요일,공휴일(10:00-17:00)"
83,서울선진내과의원,풍덕천1동 714번지 5호 효은빌딩 3층,031-264-2563,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
84,서울안과의원,죽전동 484-9 금강프라자 031-305호,031-262-4394,9:30-18:30,09:30-15:00,휴진
85,서울이비인후과의원,"풍덕천동 712-3,6",031-264-4023,9:30-19:00,09:30-16:00,공휴일(9:30~13:00)
86,선비뇨기과의원,성복동 89 데이파크 B동405호,031-889-1313,09:30~19:00,09:30~16:00,휴무
87,성모마취통증의학과의원,풍덕천동 1080-9 하나로프라자401호,031-265-9309,9:30-18:30,09:30-16:00,휴진
88,성복이안소아청소년과의원,성복동139 웰스톤갤러리302호,031-264-6001,09:00~20:00,09:00~16:00,공휴(09:00:16:00)
89,성복한의원,성복동726 LG빌리지3차상가 204호,031-276-5002,9:30-18:30,09:30-15:30,공휴일(9:30~15:30)사정에
90,성안의원,죽전동 1609-1 그랜드프라자 301호,031-265-3699,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
91,소망한의원,풍덕천동 1080-1,031-307-4100,9:30-19:00,09:30-17:00,휴진
92,솔한의원,풍덕천동 715-2 현대그린프라자 5층,031-896-3533,09:00~19:00,09:00~16:00,공휴(09:30~13:00)
93,수강한의원,풍덕천동 1080-20 중수프라자404호,031-263-7272,"10:00-19:00(월,수,금) 10:00-17:00(화,목)",10:00-17:00,휴진
94,수내과의원,죽전1동 1190번지 5호 신주프라자 308호,031-897-7971,9:00~19:00,09:00-15:00,휴진
95,수인치과의원,동천동 훼미리프라자 304호,031-896-9075,10:00~19:00,,휴무
96,수지21세기의원,상현동 193,031-272-8995,09:00~19:00,09:00~16:00,공휴(09:00~13:00사정에따라)
97,수지경희한의원,성복동 89 yk타운비동 404호,031-889-9881,9:30-19:00,09:30-16:00,휴진
98,수지골드대웅한의원,성복동 33-1 수지골드프라자 103호,031-889-5549,9:00-19:00,09:30-16:00,휴진
99,수지그린정형외과의원,성복동 748-1 신봉v샤르망 2.3층,031-266-2792,9:00-19:00,09:00-15:00,휴진
100,수지김안과의원,풍덕천동 715-2(5층),031-264-7582,9:30-18:30,09:30-16:00,휴진
101,수지맑은피부과의원,상현동254-3 원희캐슬A/403,031-264-5664,9:30-19:00,09:30-15:00,휴진
102,수지메디코아내과의원,풍덕천1동 712번지 -2 수지코아2층,031-272-2207,9:00-20:00,09:00-17:00,공휴일(9:00~17:00)
103,수지본내과의원,신봉1로 175 진성프라자1차 402,031-261-6888,09:00~19:00,09:00~15:00,공휴일(09:00~13:00) 일요일(휴무)
104,수지삼성병원,풍덕천동 514-1외3 ,031-270-7300,9:10-17:30,09:10-12:30,휴진
105,수지서울안과의원,상현동 254-14 원희캐슬 A/404호,031-276-4177,9:30-19:00,09:30-15:00,휴진
106,수지서울이비인후과의원,신봉동 31 홍천말프라자304호,031-265-9900,9:00-18:30,09:00-15:00,공휴일(9:00~12:00)
107,수지서울정형외과의원,풍덕천동 707 한길타운 501호(6실/28병상),031-262-7588,9:00-19:00,09:00-14:30,공휴일(9:00~19:00)
108,수지소생한의원,"풍덕천동712-3,수지프라자304호",031-262-6266,"9:30-19:00(월,수,금) 9:30-20:30(화,목)",09:30-17:00,휴진
109,수지아산내과의원,"신봉동 33번지 외7 센트럴상가500상가 219,220호",031-272-4675,9:00-18:30,09:00-16:00,휴진
110,수지아주병원(수지연세병원),상현동 200,031-270-9000,9:00-18:00,09:00-13:00,휴진
111,수지연세산부인과의원,풍덕천동 715-2(5층),031-264-4666,9:10-6:30,09:10-16:00,휴진
112,수지연세정신과의원,풍덕천동 1080-9 하나로프라자 503-3호,031-266-7022,9:30-18:30,09:30-14:00,휴진
113,수지용한의원,풍덕천동 714-5 효은빌딩 3층,031-896-1075,09:30~19:00,09:30~16:00,공휴(09:30~14:00)
114,수지우리병원,풍덕천동1080-19,031-272-0000,9:00-22:00,09:00-22:00,9:00-22:00
115,수지재활의학과의원,풍덕천동 1078(로얄스포츠 031-305호),031-265-7411,9:00-19:00,09:00-16:00,휴진
116,수지정형외과의원,풍덕천동 1080-1(21병상),031-308-0034,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
117,수지중앙내과의원,풍덕천동 1078(로얄스포츠센타303호),031-264-9258,8:00-18:00,08:00-14:00,휴진
118,수지한의원,풍덕천동 704 현대프라자303호,031-262-8077,9:30-19:00 9:30~17:00(수),09:30-17:00,휴진
119,숨쉬는한의원,풍덕천동 1078 수지로얄스포츠쎈타,031-896-7171,9:30-21:00 14:00-21:00(목),09:30-16:00,"일요일,공휴일(9:30-16:00)"
120,스마일통증의학과,수지수 상현동254-14외6 원희캐슬프라자 A-204호,031-896-5153,9:00-18:30,09:00-15:00,휴진
121,신봉경희한의원,신봉동 83외4 신엘지프라자 301호,031-261-9175,9:30-19:00,09:30-16:00,휴진
122,신봉정형외과,신봉동 33번지 외7 센트럴500상가 314~317호,031-272-4119,9:00-19:00,09:00-17:00,공휴일(9:00~13:00)
123,신통재활의학과의원,"성복동89데이파크B동 306,031-307호",031-889-4647,9:00-18:30,09:00-15:30,휴진
124,아론이비인후과의원,상현동 254번지 14호 원희캐슬프라자A- 202호,031-266-8875,8:30-19:00,08:30-15:00,휴진
125,아름다운의원,"죽전동452, 그림피아405호",031-272-1772,10:30-19:00,10:30-16:00,휴진
126,아름담피부과의원,"풍덕천동 712-3외1필지 수지프라자3층 302,303호",031-276-7765,9:30-19:00(평일) 9:30-20:30(금),09:30-16:00,휴진
127,아산필내과의원,죽전동465-1 양지프라자 401.402.403호,031-276-2320,9:00-20:00,09:00-16:00,공휴일(9:00~14:00)
128,아이맘소아청소년과의원,동천동 371-5 동천코아프라자 201호,031-262-0227,9:00-18:00,09:00-13:00,휴진
129,아주맑은이비인후과의원,풍덕천동 193-8 훼미리빌딩 4층,031-262-9050,09:00~21:00,09:00~15:00,09:00~15:00
130,양승갑비뇨기과의원,풍덕천동 707-2,031-262-2986,9:00-18:30,09:00-16:00,휴진
131,어울림한의원,상현동 251-3 자이프라자3층(301~304호),031-264-5775,9:30-19:00,09:30-17:00,휴진
132,에스더산부인과의원,죽전2동 1003-112(16실24병상),031-264-2722,9:00-18:00,09:00-16:00,공휴일(10:00~13:00)
133,엘림의원,성복동726 성동마을 엘지빌리지 3차상가동 302호,031-276-7582,9:00-19:00,09:00-14:00,휴진
134,연세가정의학과의원,죽전동 484-4(3층),031-264-8275,9:30-18:30,09:00-16:30,휴진
135,연세노블S의원,죽전동 465-1 양지프라자 301호,031-265-9123,10:00-19:00,10:00-16:00,휴진
136,연세소아청소년과,풍덕천2동 1047번지 1호 거묵상가 303,031-261-1002,8:30-18:30,08:30-16:00,휴진
137,연세웰내과의원,"동천동 174-25외2필지 영재빌딩 301,302호",031-261-7580,9:00-19:00,09:00-16:00,휴진
138,연세이비인후과의원,"상현동259,한길프라자401",031-261-7557,9:00-19:00,09:00-15:00,휴진
139,연세키즈소아과의원,죽전동1602-3 리베로빌딩304호,031-896-4343,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
140,연합가정의학과의원,상현동 66-2 페르메스빌딩 404호,031-276-7592,9:00-19:00,09:00-16:00,휴진
141,염광피부과의원,동천동 418-2,031-262-6155,9:30-18:00,,"일요일,공휴일(9:30-18:00)"
142,영재한의원,동천동 885-2,031-266-1361,9:00-19:00,09:00-17:00,휴진
143,영춘당한의원,풍덕천동 697-1 태경빌딩 2층,031-262-1491,9:30-18:30,09:30-15:00,휴진
144,예담가족한의원,성복동 740번지 드림타워 209호,031-265-7337,"9:00-21:00(월,수,금) 9:00-19:00(화,목)",09:00-16:00,공휴일(9:00~13:00)
145,예담이비인후과의원,성복동 731 LG빌리지6차 상가동1층,031-263-9075,9:00~18:30,09:00~16:00,휴진
146,용한외과의원,풍덕천동715-2현대그린프라자505~509호(2실3병상),031-261-7188,9:30-18:30,09:30-16:00,공휴일(9:00~13:00)사저에
147,우리경희한의원,죽전동1602-3 리베로2 401호,031-896-3711,9:30-19:00,09:30-16:00,휴진
148,우리들내과의원,상현동 830(성진프라자204호),031-266-5430,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
149,우리들의원,상현동 30,031-264-6780,9:00-19:00,09:00-16:00,휴진
150,우리들이비인후과의원,"죽전동 484-9 금강프라자 302,3호",031-263-1644,9:00-19:00,09:00-16:00,휴진
151,위엔장사랑샘내과의원,풍덕천동 1080-4하나로프라자 4층,031-265-8477,9:00-19:00,09:00-16:00,휴진
152,위편한내과의원,죽전동2011-2 리베로 1 상가 402호,031-896-7582,9:00-19:00,09:00-16:00,공휴일(9:00~14:00)
153,유림한의원,신봉동 39,031-896-1515,9:30-19:00,09:30-16:00,휴진
154,유영일내과의원,죽전동451-5 죽전빌딩031-202호,031-266-3338,9:00-19:00,09:00-15:00,공휴일(9:00~12:00)
155,유플란트치과의원,동천동 873-2 동천타워301호,031-896-8275,09;30~19:00,09:30~14:30,휴무
156,으뜸가정의학과,동천동 200,031-272-8275,9:00-19:00,09:00-16:00,공휴일(9:00~14:00)
157,은내과의원,풍덕천동 703 동보아파트 상가동 203호,031-263-5480,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
158,이상봉마취통증의학과의원,풍덕천동 712-3 수지프라자404,031-266-8455,9:30-18:00,09:30-13:00,휴진
159,이승복내과,상현동 259 한길프라자 301,031-272-0082,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)사정에
160,이안소아청소년과의원,풍덕천2동1080-19 평은프라자 3층,031-272-7581,9:00-21:00,09:00-18:00,"일요일,공휴일(9:00-16:00)"
161,이영은소아청소년과의원,상현동254-14 원희캐슬프라자 A-405호,031-265-7146,9:00-18:30,09:00-15:00,휴진
162,이호선이비인후과,상현2동 254-14 원희캐슬 A/301,031-261-3800,9:00-19:00,09:00-16:00,휴진
163,인애한의원,죽전동 1254-1외1필지 가동 031-307호,031-264-0064,"9:30-21:00(월,수,금) 9:30-18:00(화,목)",09:30-16:00,휴진
164,자연미의원,죽전동 1031-608-1 선진포리스트 404호,031-262-9300,"9:30-19:00(월,수,금) 9:30-21:00(화,목)",09:30-16:00,휴진
165,장이비인후과의원,죽전동451-5 죽전빌딩301호,031-272-5075,9:00-19:00,09:00-16:00,휴진
166,재성마취통증의학과의원,죽전동 1175-9 재성프라자 401호,031-264-8217,9:00-18:00,09:00-14:00,휴진
167,정소희피부과의원,풍덕천동 1078(로얄스포츠쎈타),031-265-6015,9:30-18:00,09:30-15:00,휴진
168,정심한의원,죽전동484-9외2필지 금강프라자 306호,031-265-2075,9:30-19:00,09:30-15:00,휴진
169,정인석마취통증의학과의원,"동천동 887-1 수지하우비 411,412호",031-898-1926,9:30-18:30,09:30-14:00,휴진
170,제세한의원,"성복동129-1,플러스크리 수지센타301호",031-896-1137,"9:00-19:00 9:00-21:30(화) (수-첫째,셋째 휴진)",09:00-17:00,"일요일(9:00-19:00첫째,셋째주)"
171,제일가정의원,죽전동 832(벽산종합상가),031-264-0218,9:20-19:00,09:20-16:00,공휴일(10:00~13:00)
172,주연내과의원,"풍덕천1동 707-2 5,6층",031-272-6020,"9:00-18:00(월,수,금) 9:00-17:00(화) 9:00-14:00(목)",09:00-14:00,공휴일(9:00~13:00)
173,죽전정형외과의원,죽전동302(10실25병상),031-263-0008,9:30-19:00,09:30-15:00,공휴일(9:30~13:00)
174,죽전키즈앤미즈한의원,죽전동 1178-2 신원빌딩 4층,031-889-7600,"10:00-19:00(월,수) 10:00-21:00 (화,금) (목-휴진)",10:00-17:00,"일요일,공휴일(10:00-17:00)"
175,죽전한의원,죽전동452 그린피아빌딩303호,031-265-0071,9:30-19:00,09:30-15:00,휴진
176,죽전효사랑병원(요양병원),죽전1동 2009-5 신주프라자 4층,031-889-8700,9:00-18:00,09:00-15:00,휴진
177,지성한의원,죽전동 2004-2 지성빌딩 3층,031-898-4646,10:00-19:30,10:00-17:30,휴진
178,진수신경외과의원,상현동 한길프라자 259번지 301.302,031-266-7200,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
179,차호인정형외과의원,풍덕천동 712-2,031-261-7333,9:00-19:00,09:00-16:00,공휴일(9:00~14:00)
180,청정선한의원,동천동 887-1 수지하우비상가 407-8,031-898-1075,9:30-19:00,09:30-17:00,휴진
181,초이스이비인후과의원,신봉동39 에덴파크303호,031-266-5075,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
182,최원석비뇨기과의원,풍덕천동 1080-9 하나로프라자404호,031-265-8875,9:00-18:30,09:00-15:30,휴진
183,최진수내과의원,성복동 129-1 플러스클리닉수지센타 031-305호,031-265-8333,9:00-18:00,09:00-13:30,휴진
184,클라스웰정형외과의원,죽전동 2009-5신주프라자3층,031-889-5200,"9:00-20:00(월,목) 9:00-19:00(화,수,금)",09:00-16:00,휴진
185,태강한의원,죽전1동 1188번지 3호 한솔프라자301호,031-261-1275,9:00-19:00,09:00-16:00,공휴일(9:00~16:00)사정에
186,태영한의원,죽전동 884 현암빌딩 201호,031-896-7510,10:00-20:00 10:00-16:00(목),10:00-16:00,휴진
187,텐텐강한의원,풍덕천동1080-8 초석프라자502호,031-202-7175,"9:30-19:00(화,목,금) 9:30-20:30(월,수)",09:30-16:00,"일요일휴진,"
188,튼튼플러스소아과의원,죽전동 451-5 죽전빌딩 201호,031-276-1575,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
189,편한마음 한의원,죽전2동 832번지 벽산1단지내 상가 201호,031-272-1275,9:00-20:00,09:00-16:30,휴진
190,편한이비인후과의원,성복동 YK타운비동 031-305호(1실1병상),031-898-2789,9:00-19:00,09:00-17:00,휴진
191,푸른숲한의원,"죽전동 2009-5 신주프라자 203,204호",031-889-8275,10:00-19:00(평일) 10:00-21:00(화),10:00-16:00,공휴일(10:00~16:00)
192,피브로한의원,동천동 174-25외2필지 영재빌딩 4층,031-266-7573,9:30-19:00,09:30-16:00,"일요일(10:00-16:00둘째,넷째주),공휴일(10:00-16:00)"
193,필의원,죽전1동 1178번지 2호 신원빌딩 201호,031-889-7575,"9:30-19:00(월,수,목) 9:30-21:00(화,금)",09:30-15:00,휴진
194,하늘가정의학과의원,풍덕천동 664(3층),031-261-0151,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
195,하이탑비뇨기과의원,죽전동 452 그린피아 403호,031-263-5375,9:00-19:00,09:00-16:00,휴진
196,한내과의원,풍덕천동 193-8 훼밀리빌딩,031-272-2657,9:00-19:00,09:00-16:00,휴진
197,한마음내과영상의학과의원,"풍덕천동 1080-9 하나로프라자 405-1,405호",031-263-8090,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
198,한마음안과의원,풍덕천동 3003-1,031-265-8575,9:30-18:30,09:00-16:00,공휴일(9:00~13:00)
199,한솔병인한의원,상현동 원희캐슬 A/306,031-262-3567,9:30-19:00,09:00-16:00,휴진
200,한솔이비인후과의원,죽전동 1602번지 3호 리베로2 빌딩302호,031-272-2022,9:00-19:00,09:00-16:00,공휴일(9:00~13:00)
201,한지윤피부과의원,성복동 33-1 수지골드프라자1-111,031-889-8071,9:30-19:00 (평일) 9:30-20:00(수),09:30-14:00,휴진
202,해맑은 내과의원,풍덕천2동 신정마을 상가동204/208호,031-276-1478,9:00-18:30,09:00-15:30,공휴일(9:00~13:00)
203,해맑은소아과의원,신봉동 83외4필지 신엘지프라자 203호,031-896-8297,9:00-19:00,09:00-17:00,공휴일(9:00~13:00)
204,현내과의원,"성복동89 YK타운 B동315,616호",031-889-7587,9:00-19:00,09:00-16:00,휴진
205,혜인당한의원,신봉동 31,031-263-0750,09:30-18:30,09:30~15:30,휴진
206,희망찬한의원,죽전동 1188-5 에이스프라자 303호,031-889-3929,"10:00-19:00(월,수,금) 10:00-20:30(화,목)",10:00-15:30,휴진
207,G7치과의원,상현2동 254-14 원희캐슬프라자A/401호,031-263-2275,"10:00-19:00(월,수,금) 10:00-21:00(화,목)",10:00-14:00,휴진
